component,local_path,url,hash,participant_id,file_type,size
P3,erpcore/P3/sub-004/eeg/sub-004_task-P3_electrodes.tsv,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//6101fc890c4cba026ebcd236,md5:2d5e9897239df6feea87762c209ce9cf,sub-004,,924
P3,erpcore/P3/sub-004/eeg/sub-004_task-P3_eeg.set,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//60077c4286541a092914b8e1,md5:ac0f8cb3a2c0ee1d676a9aab44d7633f,sub-004,raw_files,4587664
P3,erpcore/P3/sub-004/eeg/sub-004_task-P3_channels.tsv,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//60077c3686541a092914b8b6,md5:b3f747b422beb20d963861567ffe1c4f,sub-004,,512
P3,erpcore/P3/sub-004/eeg/sub-004_task-P3_eeg.fdt,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//60077c3dba010908a7892c69,md5:8345542fb89644d868caf2cedcedc39c,sub-004,,73531392
P3,erpcore/P3/sub-004/eeg/sub-004_task-P3_eeg.json,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//60077c40e80d3708eaa588b6,md5:6f8dd4f6d58d9c9c2868529734705baf,sub-004,,1651
P3,erpcore/P3/sub-005/eeg/sub-005_task-P3_electrodes.tsv,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//6101fc90317620027c3809d8,md5:2d5e9897239df6feea87762c209ce9cf,sub-005,,924
P3,erpcore/P3/sub-005/eeg/sub-005_task-P3_channels.tsv,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//60077c47ba010908a48924dd,md5:b3f747b422beb20d963861567ffe1c4f,sub-005,,512
P3,erpcore/P3/sub-005/eeg/sub-005_task-P3_eeg.fdt,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//60077c4ee80d3708e2a575cb,md5:933706955c4d2b5b5b82586e8cef5391,sub-005,,51634176
P3,erpcore/P3/sub-005/eeg/sub-005_task-P3_eeg.json,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//60077c5186541a092914b917,md5:f73bcd7e2f0f1dc34276f816f853aff6,sub-005,,1651
P3,erpcore/P3/sub-005/eeg/sub-005_task-P3_eeg.set,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//60077c54e80d3708eaa58909,md5:525ae6a25db68df8d52b631dbf88e1ea,sub-005,raw_files,3260168
P3,erpcore/P3/sub-005/eeg/sub-005_task-P3_events.tsv,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//60077c57ba010908a7892cde,md5:d498a85fbe9b6001e0a783419746ee5a,sub-005,log_files,14513
P3,erpcore/P3/sub-005/eeg/sub-005_task-P3_coordsystem.json,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//6101fc94c7a976029a9ddec5,md5:773aca922ea9a7c0e1259d63590a67e8,sub-005,,55
P3,erpcore/P3/sub-006/eeg/sub-006_task-P3_coordsystem.json,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//6101fc99c7a97602949de7be,md5:773aca922ea9a7c0e1259d63590a67e8,sub-006,,55
P3,erpcore/P3/sub-006/eeg/sub-006_task-P3_events.tsv,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//60077c6886541a092914b950,md5:3a040929cf2f12dc623a8289d6ac4df3,sub-006,log_files,14347
P3,erpcore/P3/sub-006/eeg/sub-006_task-P3_electrodes.tsv,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//6101fc970c4cba026dbca29f,md5:2d5e9897239df6feea87762c209ce9cf,sub-006,,924
P3,erpcore/P3/sub-006/eeg/sub-006_task-P3_eeg.set,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//60077c65e80d3708eca59115,md5:a5720bc084768b88ca1d2e3b9ca39448,sub-006,raw_files,2818696
P3,erpcore/P3/sub-006/eeg/sub-006_task-P3_channels.tsv,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//60077c5bba010908a7892cee,md5:b3f747b422beb20d963861567ffe1c4f,sub-006,,512
P3,erpcore/P3/sub-006/eeg/sub-006_task-P3_eeg.fdt,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//60077c6086541a092c14dc05,md5:6b8664c3c6f9f6e152af80e7f7b3ca6b,sub-006,,44335104
P3,erpcore/P3/sub-006/eeg/sub-006_task-P3_eeg.json,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//60077c6286541a092914b940,md5:3378ae1d23815f4c13c41eacc6b13031,sub-006,,1651
P3,erpcore/P3/sub-007/eeg/sub-007_task-P3_channels.tsv,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//60077c6aba010908a4892526,md5:b3f747b422beb20d963861567ffe1c4f,sub-007,,512
P3,erpcore/P3/sub-007/eeg/sub-007_task-P3_eeg.fdt,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//60077c6fba010908a7892d37,md5:481c350f88098e5b47bf0c91cb1fb9ba,sub-007,,48119808
P3,erpcore/P3/sub-007/eeg/sub-007_task-P3_eeg.json,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//60077c72e80d3708eca59158,md5:b2795883c3c26023d292e505b498fa79,sub-007,,1651
P3,erpcore/P3/sub-007/eeg/sub-007_task-P3_eeg.set,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//60077c75ba010908a7892d51,md5:f4822b51025b1f5bc7560c21f5df47d2,sub-007,raw_files,3048240
P3,erpcore/P3/sub-007/eeg/sub-007_task-P3_events.tsv,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//60077c7886541a092c14de01,md5:d4bc514ab0ec7513e74a458588a89ddd,sub-007,log_files,14497
